#;Priorité;Nom;Adresse;CP;Ville;Tél;E-mail;Site;Spécialité / activité;Raison sociale;SIREN;NAF;Effectif;Création;Dirigeant;Source;Statut;Notes
1;A;Distristar;17-19 rue Eugène Hénaff;93000;Bobigny;01 48 91 04 64;info@distristar.com;https://www.distristar.com;Grossiste alimentation afro + cosmétique afro;;;;;;;Site officiel distristar.com;À contacter;
2;A;GMAX France;17 rue Arago;93000;Bobigny;07 62 79 39 87;gmax.france@gmail.com;https://gmaxfrance.netlify.app;Grossiste alimentaire (vente aux professionnels, ouverture de compte pro);;;;;;;Site officiel;À contacter;Lun–sam 8h–18h.
3;A;Racines SA (entrepôt Montreuil);ZI Mozinor, 2 av. du Président Salvador Allende, lot 9;93100;Montreuil;01 48 70 02 86;contact@racines-sa.com;https://www.racines-sa.com;Import-distribution produits alimentaires ethniques (Afrique, océan Indien) — depuis 1987;;342405370;;;1987;;Annuaire Mozinor + Kompass;À contacter;SIRET 342 405 370 00053. Siège Montpellier, logistique Europe à Montreuil.
4;A;Haudecoeur;60 rue Émile Zola;93120;La Courneuve;01 48 11 15 55;commande@haudecoeur.fr;https://www.haudecoeur.fr;Grossiste-industriel épicerie du monde : riz, légumes secs, farines/fécules, conserves, produits Maghreb/Asie;;;;;;;Site officiel;À contacter;Commandes par tél/mail, enlèvement sur place.
5;A;Youmbi Company / Exotique Pro;1 avenue Louis Blériot;93120;La Courneuve;07 66 85 54 63;exotiqueprocommande@gmail.com;https://exotiquepro.fr;Grossiste pro 100 % africain : poissons (courbine, thiof, chinchard), bières africaines, manioc, djakhatou, thon garba — catalogue en ligne prix HT;;;;;;;Site officiel exotiquepro.fr + Europages;À contacter;
6;A;Tai Yat Distribution;24-28 avenue Albert Einstein;93150;Le Blanc-Mesnil;01 39 93 61 19;contact@taiyat.fr;https://www.taiyat.fr;Importateur-grossiste produits africains & asiatiques (frais, surgelés, épicerie, boissons) — entrepôt 2 500 m², call & collect, livraison;;443695598;;;2002;;Site officiel taiyat.fr;À contacter;SIREN 443 695 598 (RCS Bobigny). Acteur majeur — cible prioritaire marketplace.
7;A;Soeximex;31-33 rue Pleyel;93200;Saint-Denis;01 48 13 74 74;;https://www.soeximex.com;Import-export alimentaire vers/depuis l'Afrique depuis 1963 (47 salariés);;632029609;;;1963;;PagesJaunes + Kompass;À contacter;SIREN 632 029 609. Standard alternatif 01 48 13 14 21. Plutôt export : à qualifier.
8;A;Rak & Spa Services;10 rue Germain Planque;93600;Aulnay-sous-Bois;06 20 79 94 10;contact@raketspa.com;https://www.raketspaservices.com;Distributeur produits alimentaires africains (marques Peak, Family Elephant…);;;;;;;Site officiel;À contacter;Commercial province : 06 25 98 37 24.
9;A;888 Fruit Company;Bât. G5B, 5 RUE DE LA CORDERIE;94150;Rungis;01 45 60 36 40;info@888fruitcompany.com;;Grossiste MIN de Rungis — Banane Plantain, Igname, Manioc, Noix De Coco;;;;;;;Annuaire Rungis International (https://www.rungisinternational.com/entreprise/2126-888-fruit-company);À contacter;Clientèle : Commerce de gros, Cash and carry
10;A;Celina Exotiques;MIN de Rungis;94150;Rungis;07 60 75 96 50;;;Grossiste produits exotiques;;;;;;;PagesJaunes;À contacter;Fixe 01 45 12 02 90. Adresse précise à confirmer.
