#;Nom;Adresse;Code postal;Ville;Téléphone;E-mail;Site / réseau;Cuisine;Raison sociale (SIRENE);SIREN;Dirigeant;Source OSM;Statut;Notes
1;Baguette Brochette;105 Rue Saint-Denis;75001;Paris;;;;Sandwich, Africaine;;;;https://www.openstreetmap.org/node/10206765608;À contacter;
2;Jip's;1 Rue de la Ferronnerie;75001;Paris;01 42 21 33 93;;;afro-cuban, tapas;JIPS CONSEIL (EKLA FACTORY);988222519;JOHAN IAVARONE;https://www.openstreetmap.org/node/2003145803;À contacter;
3;Big Black Cook;5 Rue Tiquetonne;75002;Paris;01 42 33 74 92;bigblackcook.shop@gmail.com;https://bigblackcook.shop;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/3575298897;À contacter;
4;Johnny B. Cake;7 Rue Tiquetonne;75002;Paris;;;https://johnnycake.fr/;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/13373844801;À contacter;
5;La Varangue de L’Océan Indien;8 Rue Tiquetonne;75002;Paris;;;;curry, Créole;;;;https://www.openstreetmap.org/node/12833442762;À contacter;
6;Le Malibu;44 Rue Tiquetonne;75002;Paris;;;;Africaine;LE MALIBU;750474728;AURELIO SILVIA;https://www.openstreetmap.org/node/5957603289;À contacter;
7;Osè;60 Passage Choiseul;75002;Paris;02 49 31 98 33;;https://www.oseafricancuisine.com/;Africaine;OSE 402;945260628;SAUROUTOU DIARRA;https://www.openstreetmap.org/node/13563748852;À contacter;
8;Riz Djondjon;291 Rue Saint-Denis;75002;Paris;06 52 92 19 02;rizdjondjon@gmail.com;https://rizdjondjon.com/;Haïtienne, Antillaise / Caraïbes, Africaine;RIZ DJONDJON (RIZ DJONDJON);853760502;GERTRUDE CHARLES;https://www.openstreetmap.org/node/8380393017;À contacter;
9;Suya;10 Rue Mandar;75002;Paris;01 42 36 03 13;;https://www.suya.fr/;Africaine, Antillaise / Caraïbes, french;LITTLE SUYA!;948867924;;https://www.openstreetmap.org/node/11449886006;À contacter;
10;Sénégalette;38 Rue Poissonnière;75002;Paris;;;;crepe;ALLIANCE XR (SENEGALETTE);530566959;BASSIROU NDIAYE;https://www.openstreetmap.org/node/4903782064;À contacter;
11;Kassava;326 Rue Saint-Martin;75003;Paris;;;;Africaine;KASSAVA;985239458;PAULE BEKE;https://www.openstreetmap.org/node/12864450139;À contacter;
12;Le Bafing;7 Rue Sainte-Apolline;75003;Paris;;;;Africaine;LE BAFING (LE BAFING);897894945;MASSIATA BAMBA;https://www.openstreetmap.org/node/3616979977;À contacter;
13;Le Petit Dakar;6 Rue Elzévir;75003;Paris;01 44 59 34 74;;https://www.lepetitdakar.com/;Africaine;AU PETIT DAKAR;442391785;;https://www.openstreetmap.org/node/1166729166;À contacter;
14;Maya Bokit;11 Boulevard des Filles du Calvaire;75003;Paris;;;https://www.instagram.com/mayabokit;Antillaise / Caraïbes;MAYA BOKIT;100661685;MATHYS VIDALENC;https://www.openstreetmap.org/node/6133755184;À contacter;
15;Ase Theodros;7 Rue de la Collégiale;75005;Paris;01 43 37 70 60;support@webador.fr;https://www.ase-theodros.fr;Éthiopienne;;;;https://www.openstreetmap.org/node/8883649272;À contacter;
16;Godjo;8 Rue de l'École Polytechnique;75005;Paris;01 40 46 82 21;;https://www.godjo.paris;Éthiopienne;ABYS (GODJO);399706092;YONAS GEBRE SELASSIE;https://www.openstreetmap.org/node/10125185442;À contacter;
17;Le Thiossane;13 Rue du Cardinal Lemoine;75005;Paris;01 83 06 00 74;;lethiossane_restaurant;Africaine;;;;https://www.openstreetmap.org/node/12188738621;À contacter;
18;Les Saveurs d'Abyssinie;1 Rue de l'Arbalète;75005;Paris;;;;Éthiopienne;LES SAVEURS D'ABYSSINIE (LES SAVEURS D ABYSSINIE);811352335;- MILESELAM AFEWORK BEKELE;https://www.openstreetmap.org/node/6395856785;À contacter;
19;Cubana Café;47 Rue Vavin;75006;Paris;01 40 46 80 81;info@cubanacafe.com;https://www.cubanacafe.com;Antillaise / Caraïbes;;;;https://www.openstreetmap.org/node/9961349756;À contacter;
